Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Term,Credit_History,Area,FICO_Score,Loan_To_Value,Liquid_Assets,Total_Debt,Net_Worth,Status
Male,No,0,Graduate,No,360000,0,8000000,360,1,Urban,433,0.06,70154,1800000,280131,N
Male,No,0,Graduate,No,180000,121300,4700000,360,1,Urban,714,0.06,540000,126818,1440000,Y
Male,Yes,0,Graduate,No,240000,0,7500000,360,,Urban,709,0.06,1200000,201871,1680000,Y
Male,Yes,0,Graduate,No,394100,233600,13400000,360,1,Semiurban,650,0.05,1182300,299626,3152800,Y
Male,Yes,0,Not Graduate,Yes,469500,0,9600000,,1,Urban,652,0.08,0,436011,469500,Y
Female,No,0,Graduate,No,341000,0,8800000,,1,Urban,668,0.09,1364000,173559,3069000,Y
Male,Yes,1,Graduate,No,564900,0,4400000,360,1,Urban,655,0.05,1129800,460708,2824500,Y
Male,Yes,0,Graduate,No,582100,0,14400000,360,1,Urban,661,0.07,0,543367,2328400,Y
Female,Yes,0,Graduate,No,264500,344000,12000000,360,0,Urban,532,0.05,236598,1851500,14886,N
Female,No,0,Graduate,No,400000,227500,14400000,360,1,Semiurban,666,0.05,2000000,83950,1200000,Y
Female,Yes,0,Not Graduate,No,192800,164400,10000000,360,1,Semiurban,691,0.06,771200,74501,964000,Y
Female,No,0,Graduate,No,308600,0,12000000,360,1,Semiurban,654,0.09,925800,150289,2777400,Y
Female,No,0,Graduate,No,423000,0,11200000,360,1,Semiurban,541,0.02,57695,0,34423,N
Male,Yes,2,Graduate,No,461600,0,13400000,360,1,Urban,680,0.04,226908,4616000,74488,N
Female,Yes,1,Graduate,Yes,1150000,0,28600000,360,0,Urban,679,0.07,747057,6900000,100784,N
Male,Yes,2,Graduate,No,270800,116700,9700000,360,1,Semiurban,686,0.07,1083200,52751,812400,Y
Male,Yes,0,Graduate,No,213200,159100,9600000,360,1,Semiurban,664,0.09,852800,120408,1066000,Y
Male,Yes,0,Graduate,No,336600,220000,13500000,360,1,Rural,620,0.03,32887,2356200,284608,N
Male,Yes,1,Graduate,No,808000,225000,18000000,360,1,Urban,695,0.06,1616000,227483,4040000,Y
Male,Yes,2,Not Graduate,No,335700,285900,14400000,360,1,Urban,714,0.06,1007100,249140,3357000,Y
Male,Yes,0,Graduate,No,250000,379600,12000000,360,1,Urban,676,0.06,1000000,230560,500000,Y
Male,Yes,3+,Graduate,No,302900,0,9900000,360,1,Urban,663,0.08,605800,15113,1514500,Y
Male,Yes,0,Not Graduate,Yes,260900,344900,16500000,180,0,Rural,659,0.07,211956,2348100,17459,N
Male,Yes,1,Graduate,No,494500,0,0,360,0,Rural,585,0.06,255852,4945000,34849,N
Female,No,0,Graduate,No,416600,0,11600000,360,0,Semiurban,536,0.07,327110,416600,143656,N
Male,Yes,0,Graduate,No,572600,459500,25800000,360,1,Semiurban,663,0.06,519390,5153400,430391,N
Male,No,0,Not Graduate,No,320000,225400,12600000,180,0,Urban,600,0.06,3556,640000,232733,N
Male,Yes,1,Graduate,No,1075000,0,31200000,360,1,Urban,719,0.06,4300000,327532,7525000,Y
Male,Yes,3+,Not Graduate,Yes,710000,0,12500000,60,1,Urban,696,0.06,3550000,29634,710000,Y
Female,No,0,Graduate,No,430000,0,13600000,360,0,Semiurban,553,0.02,348143,4300000,255942,N
Male,Yes,0,Graduate,No,320800,306600,17200000,360,1,Urban,658,0.07,1604000,234195,1924800,Y
Male,Yes,2,Not Graduate,Yes,187500,187500,9700000,360,1,Semiurban,658,0.09,562500,178554,1312500,Y
Male,No,0,Graduate,No,350000,0,8100000,300,1,Semiurban,656,0.06,1050000,85051,2100000,Y
Male,Yes,3+,Not Graduate,No,475500,0,9500000,,0,Semiurban,462,0.07,239654,951000,291687,N
Male,Yes,3+,Graduate,Yes,526600,177400,18700000,360,1,Semiurban,708,0.07,0,425956,1579800,Y
Male,No,0,Graduate,No,375000,0,11300000,480,1,Urban,678,0.02,94366,3375000,4094,N
Male,No,0,Graduate,No,375000,475000,17600000,360,1,Urban,683,0.04,297626,2250000,222939,N
Male,Yes,1,Graduate,Yes,100000,302200,11000000,360,1,Urban,616,0.06,55452,1000000,82075,N
Male,Yes,3+,Graduate,No,316700,400000,18000000,300,0,Semiurban,599,0.04,163673,950100,71598,N
Male,Yes,3+,Not Graduate,Yes,333300,216600,13000000,360,,Semiurban,666,0.06,1666500,231061,3333000,Y
Female,No,0,Graduate,No,384600,0,11100000,360,1,Semiurban,670,0.08,1538400,23083,2692200,Y
Male,Yes,1,Graduate,Yes,239500,0,0,360,1,Semiurban,716,0.09,1197500,66425,239500,Y
Female,Yes,2,Graduate,No,137800,188100,16700000,360,1,Urban,506,0.04,102373,0,52770,N
Male,Yes,0,Graduate,No,600000,225000,26500000,360,,Semiurban,625,0.03,383127,4200000,119381,N
Male,Yes,1,Graduate,No,398800,0,5000000,240,1,Urban,682,0.05,797600,144359,3190400,Y
Male,No,0,Graduate,No,236600,253100,13600000,360,1,Semiurban,697,0.06,473200,167225,1419600,Y
Male,Yes,2,Not Graduate,No,333300,200000,9900000,360,,Semiurban,707,0.06,1333200,273574,1999800,Y
Male,Yes,0,Graduate,No,250000,211800,10400000,360,1,Semiurban,707,0.06,1000000,165990,500000,Y
Male,No,0,Graduate,No,856600,0,21000000,360,1,Urban,667,0.05,4283000,813879,7709400,Y
Male,Yes,0,Graduate,No,569500,416700,17500000,360,1,Semiurban,694,0.05,0,307727,1708500,Y
Male,Yes,0,Graduate,No,295800,290000,13100000,360,1,Semiurban,691,0.07,1479000,86380,591600,Y
Male,Yes,2,Graduate,No,625000,565400,18800000,180,1,Semiurban,709,0.08,1250000,538334,625000,Y
Male,Yes,2,Not Graduate,No,327300,182000,8100000,360,1,Urban,677,0.08,327300,150314,2618400,Y
Male,No,0,Graduate,No,413300,0,12200000,360,1,Semiurban,666,0.08,0,87264,3306400,Y
Male,No,0,Not Graduate,No,362000,0,2500000,120,1,Semiurban,715,0.08,0,80179,2896000,Y
Male,No,0,Graduate,,678200,0,0,360,,Urban,504,0.04,361408,0,21991,N
Female,Yes,0,Graduate,No,248400,230200,13700000,360,1,Semiurban,687,0.05,1242000,43241,0,Y
Male,Yes,0,Graduate,No,197700,99700,5000000,360,1,Semiurban,716,0.08,0,150865,1581600,Y
Male,Yes,0,Not Graduate,No,418800,0,11500000,180,1,Semiurban,661,0.05,418800,44988,837600,Y
Male,Yes,0,Graduate,No,175900,354100,13100000,360,1,Semiurban,654,0.09,703600,158772,879500,Y
Male,Yes,2,Not Graduate,No,428800,326300,13300000,180,1,Urban,650,0.09,2144000,403121,1286400,Y
Male,No,0,Graduate,No,484300,380600,15100000,360,1,Semiurban,717,0.05,484300,444339,4358700,Y
Male,Yes,,Graduate,No,1365000,0,0,360,1,Urban,698,0.05,5460000,1052560,9555000,Y
Male,Yes,0,Graduate,No,465200,358300,0,360,1,Semiurban,713,0.05,2326000,28622,4186800,Y
Male,,,Graduate,No,381600,75400,16000000,360,1,Urban,710,0.09,1144800,38487,1526400,Y
Male,Yes,1,Graduate,No,305200,103000,10000000,360,1,Urban,693,0.08,610400,302759,915600,Y
Male,Yes,2,Graduate,No,1141700,112600,22500000,360,1,Urban,665,0.09,0,344718,4566800,Y
Male,No,0,Not Graduate,,733300,0,12000000,360,1,Rural,530,0.05,90748,5133100,625496,N
Male,Yes,2,Graduate,No,380000,360000,21600000,360,0,Urban,512,0.03,31781,0,59770,N
Male,Yes,3+,Not Graduate,No,207100,75400,9400000,480,1,Semiurban,682,0.06,621300,104176,0,Y
Male,No,0,Graduate,No,531600,0,13600000,360,1,Urban,682,0.05,2658000,138474,3189600,Y
Female,Yes,0,Graduate,,292900,233300,13900000,360,1,Semiurban,673,0.05,292900,88624,2636100,Y
Male,Yes,0,Not Graduate,No,357200,411400,15200000,,0,Rural,476,0.05,258968,1071600,319279,N
Female,No,1,Graduate,Yes,745100,0,0,360,1,Semiurban,672,0.09,2235300,96841,745100,Y
Male,No,0,Graduate,,505000,0,11800000,360,1,Semiurban,692,0.07,1010000,479878,4545000,Y
Male,Yes,1,Graduate,No,1458300,0,18500000,180,1,Rural,717,0.09,4374900,1153129,14583000,Y
Female,Yes,0,Graduate,No,316700,228300,15400000,360,1,Semiurban,696,0.09,0,84048,633400,Y
Male,Yes,1,Graduate,No,221400,139800,8500000,360,,Urban,680,0.07,664200,185484,1328400,Y
Male,Yes,0,Graduate,No,556800,214200,17500000,360,1,Rural,422,0.03,449301,0,399739,N
Female,No,0,Graduate,No,1040800,0,25900000,360,1,Urban,667,0.07,0,417263,1040800,Y
Male,Yes,,Graduate,No,566700,266700,18000000,360,1,Rural,657,0.05,566700,508075,1133400,Y
Female,No,0,Graduate,No,416600,0,4400000,360,1,Semiurban,710,0.06,2083000,406847,2916200,Y
Female,No,0,Graduate,No,213700,898000,13700000,360,0,Semiurban,656,0.09,854800,153448,0,Y
Male,Yes,2,Graduate,No,295700,0,8100000,360,1,Semiurban,701,0.09,887100,96220,1182800,Y
Male,Yes,0,Not Graduate,No,430000,201400,19400000,360,1,Rural,719,0.05,0,376814,2580000,Y
Female,No,0,Graduate,No,369200,0,9300000,360,,Rural,661,0.05,1476800,157116,3692000,Y
,Yes,3+,Graduate,No,2380300,0,37000000,360,1,Rural,689,0.06,4760600,1016821,2380300,Y
Male,No,0,Graduate,No,386500,164000,0,360,1,Rural,710,0.05,1159500,219499,0,Y
Male,Yes,1,Graduate,Yes,1051300,385000,16000000,180,0,Urban,572,0.03,876960,7359100,234259,N
Male,Yes,0,Graduate,No,608000,256900,18200000,360,,Rural,452,0.05,218576,1216000,582032,N
Male,No,0,Graduate,Yes,2016600,0,65000000,480,,Urban,690,0.05,2016600,202135,16132800,Y
Male,No,0,Graduate,No,201400,192900,7400000,360,1,Urban,696,0.07,201400,40491,1812600,Y
Male,No,0,Graduate,No,271800,0,7000000,360,1,Semiurban,706,0.07,543600,215735,1359000,Y
Male,Yes,0,Graduate,Yes,345900,0,2500000,120,1,Semiurban,713,0.09,691800,344224,1037700,Y
Male,No,0,Graduate,No,489500,0,10200000,360,1,Semiurban,687,0.07,2447500,350575,2937000,Y
Male,Yes,3+,Graduate,No,400000,775000,29000000,360,1,Semiurban,457,0.07,21758,400000,202866,N
Female,Yes,0,Graduate,No,458300,0,8400000,360,1,Rural,550,0.03,453094,2749800,50111,N
Male,Yes,2,Graduate,Yes,331600,350000,8800000,360,1,Urban,663,0.08,663200,120511,1326400,Y
Male,No,0,Graduate,No,1499900,0,24200000,360,0,Semiurban,553,0.04,1374669,7499500,508577,N
Male,Yes,2,Not Graduate,No,420000,143000,12900000,360,1,Rural,503,0.06,379776,1260000,399055,N
Male,Yes,2,Graduate,No,504200,208300,18500000,360,1,Rural,424,0.07,272511,1512600,101717,N
Male,No,0,Graduate,No,541700,0,16800000,360,1,Urban,708,0.05,0,323115,2708500,Y
Male,No,0,Graduate,Yes,695000,0,17500000,180,1,Semiurban,702,0.07,695000,518380,0,Y
Male,Yes,0,Graduate,No,269800,203400,12200000,360,1,Semiurban,717,0.09,1349000,252205,269800,Y
Male,Yes,2,Graduate,No,1175700,0,18700000,180,1,Urban,708,0.07,4702800,249674,1175700,Y
Female,Yes,0,Graduate,No,233000,448600,10000000,360,1,Semiurban,712,0.09,233000,194147,2330000,Y
Female,Yes,2,Graduate,No,1486600,0,7000000,360,1,Urban,652,0.07,7433000,644179,2973200,Y
Male,Yes,1,Graduate,No,153800,142500,3000000,360,1,Urban,674,0.08,769000,33165,153800,Y
Female,No,0,Graduate,No,1000000,166600,22500000,360,1,Rural,557,0.03,40270,0,615747,N
Male,Yes,0,Graduate,No,486000,83000,12500000,360,1,Semiurban,694,0.07,1944000,140301,4860000,Y
Male,No,0,Graduate,No,627700,0,11800000,360,0,Rural,645,0.06,513785,3766200,161045,N
Male,Yes,0,Graduate,Yes,257700,375000,15200000,360,1,Rural,667,0.05,257700,17567,1803900,Y
Male,No,0,Graduate,No,916600,0,24400000,360,1,Urban,653,0.05,192262,2749800,738474,N
Male,Yes,2,Not Graduate,No,228100,0,11300000,360,1,Rural,498,0.02,122331,0,137515,N
Male,No,0,Graduate,No,325400,0,5000000,360,1,Urban,666,0.09,1301600,299666,1952400,Y
Male,Yes,3+,Graduate,No,3999900,0,60000000,180,0,Semiurban,655,0.08,15999600,1135794,19999500,Y
Male,Yes,1,Graduate,No,600000,0,16000000,360,,Rural,690,0.05,1800000,317500,5400000,Y
Male,Yes,1,Graduate,No,953800,0,18700000,360,1,Urban,676,0.08,2861400,823261,953800,Y
Male,No,0,Graduate,,298000,208300,12000000,360,1,Rural,682,0.06,298000,291016,298000,Y
Male,Yes,0,Graduate,No,458300,562500,25500000,360,1,Semiurban,687,0.07,916600,39695,1374900,Y
Male,Yes,0,Not Graduate,No,186300,104100,9800000,360,1,Semiurban,704,0.07,0,101273,372600,Y
Male,Yes,0,Graduate,No,793300,0,27500000,360,1,Urban,463,0.07,516839,5553100,761933,N
Male,Yes,1,Graduate,No,308900,128000,12100000,360,0,Semiurban,578,0.02,18611,308900,236852,N
Male,Yes,2,Graduate,No,416700,144700,15800000,360,1,Rural,669,0.08,1250100,104352,3333600,Y
Male,Yes,0,Graduate,No,932300,0,7500000,180,1,Urban,665,0.07,1864600,546984,3729200,Y
Male,Yes,0,Graduate,No,370700,316600,18200000,,1,Rural,674,0.05,1482800,6224,2965600,Y
Female,Yes,0,Graduate,No,458300,0,11200000,360,1,Rural,405,0.02,331293,4583000,97218,N
Male,Yes,0,Graduate,No,243900,333300,12900000,360,1,Rural,689,0.07,731700,192541,1219500,Y
Male,No,0,Graduate,No,223700,0,6300000,480,0,Semiurban,490,0.04,160261,894800,114686,N
Male,Yes,2,Graduate,No,800000,0,20000000,360,1,Semiurban,712,0.07,0,115201,7200000,Y
Male,Yes,0,Not Graduate,,182000,176900,9500000,360,1,Rural,671,0.06,0,56310,910000,Y
,Yes,3+,Graduate,No,5176300,0,70000000,300,1,Urban,681,0.08,20705200,3745151,31057800,Y
Male,Yes,3+,Not Graduate,No,352200,0,8100000,180,1,Rural,471,0.05,33920,0,169475,N
Male,Yes,0,Graduate,No,570800,562500,18700000,360,1,Semiurban,688,0.06,1712400,553759,5137200,Y
Male,Yes,0,Not Graduate,Yes,434400,73600,8700000,360,1,Semiurban,628,0.07,106840,868800,48152,N
Male,Yes,0,Graduate,No,349700,196400,11600000,360,1,Rural,703,0.07,349700,248670,349700,Y
Male,Yes,2,Graduate,No,204500,161900,10100000,360,1,Rural,695,0.09,409000,162098,2045000,Y
Male,Yes,3+,Graduate,No,551600,1130000,49500000,360,0,Semiurban,523,0.05,246666,4412800,455688,N
Male,Yes,1,Graduate,No,375000,0,11600000,360,1,Semiurban,670,0.08,1125000,59486,1500000,Y
Male,No,0,Not Graduate,No,233300,145100,10200000,480,0,Urban,466,0.05,183873,1399800,85733,N
Male,Yes,1,Graduate,No,640000,725000,18000000,360,0,Urban,687,0.07,124996,1280000,393210,N
Male,No,0,Graduate,No,191600,506300,6700000,360,,Rural,667,0.07,170181,1149600,57394,N
Male,Yes,0,Graduate,No,460000,0,7300000,180,1,Semiurban,671,0.07,0,197080,1840000,Y
Male,Yes,1,Graduate,No,3384600,0,26000000,360,1,Semiurban,524,0.04,2303873,20307600,592254,N
Female,Yes,0,Graduate,No,362500,0,10800000,360,1,Semiurban,659,0.07,1450000,26793,1450000,Y
Male,Yes,0,Graduate,Yes,3914700,475000,12000000,360,1,Semiurban,673,0.08,15658800,3666167,15658800,Y
Male,Yes,1,Graduate,Yes,217800,0,6600000,300,0,Rural,668,0.07,62416,435600,191095,N
Male,Yes,0,Graduate,No,238300,213800,5800000,360,,Rural,697,0.05,238300,104151,1906400,Y
,Yes,0,Graduate,Yes,67400,529600,16800000,360,1,Rural,704,0.06,337000,50109,606600,Y
Male,Yes,0,Graduate,No,932800,0,18800000,180,1,Rural,712,0.09,0,287375,0,Y
Male,No,0,Not Graduate,No,488500,0,4800000,360,1,Rural,677,0.09,1954000,172880,1465500,Y
Male,No,0,Graduate,No,1200000,0,16400000,360,1,Semiurban,499,0.02,584427,10800000,695109,N
Male,Yes,0,Not Graduate,No,603300,0,16000000,360,1,Urban,495,0.06,37394,0,413674,N
Male,No,0,Graduate,No,385800,0,7600000,360,1,Semiurban,657,0.06,1543200,382420,1157400,Y
Male,No,0,Graduate,No,419100,0,12000000,360,1,Rural,664,0.06,1676400,49230,4191000,Y
Male,Yes,1,Graduate,No,312500,258300,17000000,360,1,Semiurban,577,0.02,59991,937500,257778,N
Male,No,0,Graduate,No,833300,375000,18700000,360,1,Rural,720,0.07,1666600,112211,1666600,Y
Female,No,0,Not Graduate,No,190700,236500,12000000,,1,Urban,676,0.06,0,140428,762800,Y
Female,Yes,0,Graduate,No,341600,281600,11300000,360,,Semiurban,700,0.07,1366400,30014,3416000,Y
Male,No,0,Graduate,Yes,1100000,0,8300000,360,1,Urban,599,0.04,312585,1100000,823475,N
Male,Yes,1,Not Graduate,No,260000,250000,9000000,360,1,Semiurban,711,0.07,0,233218,1820000,Y
Male,No,2,Graduate,No,492300,0,16600000,360,0,Semiurban,706,0.08,492300,144414,1476900,Y
Male,Yes,3+,Not Graduate,No,399200,0,0,180,1,Urban,620,0.05,291259,2794400,1859,N
Male,Yes,1,Not Graduate,No,350000,108300,13500000,360,1,Urban,710,0.08,700000,286019,3150000,Y
Male,Yes,2,Not Graduate,No,391700,0,12400000,360,1,Semiurban,692,0.05,1175100,144099,1958500,Y
Female,No,0,Not Graduate,No,440800,0,12000000,360,1,Semiurban,684,0.06,881600,279912,3085600,Y
Female,No,0,Graduate,No,324400,0,8000000,360,1,Urban,659,0.09,0,50146,1297600,Y
Male,No,0,Not Graduate,No,397500,253100,5500000,360,1,Rural,675,0.07,0,276280,2385000,Y
Male,No,0,Graduate,No,247900,0,5900000,360,1,Urban,702,0.09,1239500,32938,991600,Y
Male,No,0,Graduate,No,341800,0,12700000,360,1,Semiurban,650,0.02,1275,1025400,326482,N
Female,No,0,Graduate,No,1000000,0,21400000,360,1,Semiurban,530,0.02,177659,10000000,76968,N
Male,Yes,3+,Graduate,No,343000,125000,12800000,360,0,Semiurban,651,0.02,175188,0,245821,N
Male,Yes,1,Graduate,Yes,778700,0,24000000,360,1,Urban,684,0.05,1557400,446208,4672200,Y
Male,Yes,3+,Not Graduate,Yes,570300,0,13000000,360,1,Rural,653,0.09,1710900,65926,2851500,Y
Male,Yes,0,Graduate,No,317300,302100,13700000,360,1,Urban,653,0.05,1586500,241005,317300,Y
Male,Yes,3+,Not Graduate,No,385000,98300,10000000,360,1,Semiurban,676,0.05,1155000,138467,385000,Y
Male,Yes,0,Graduate,No,15000,180000,13500000,360,1,Rural,501,0.04,9010,150000,2483,N
Male,Yes,0,Graduate,No,372700,177500,13100000,360,1,Semiurban,668,0.09,1863500,219054,1863500,Y
Male,Yes,2,Graduate,,500000,0,7200000,360,0,Semiurban,603,0.03,136854,1000000,130047,N
Female,Yes,2,Graduate,No,428300,238300,12700000,360,,Semiurban,706,0.07,2141500,279127,1713200,Y
Male,Yes,0,Graduate,No,222100,0,6000000,360,0,Urban,686,0.03,56193,1110500,4700,N
Male,Yes,2,Graduate,No,400900,171700,11600000,360,1,Semiurban,679,0.09,400900,159021,1603600,Y
Male,No,0,Graduate,No,297100,279100,14400000,360,1,Semiurban,678,0.06,1188400,37490,2376800,Y
Male,Yes,0,Graduate,No,757800,101000,17500000,,1,Semiurban,670,0.07,3031200,724315,3031200,Y
Male,Yes,0,Graduate,No,625000,0,12800000,360,1,Semiurban,699,0.05,625000,542910,3125000,Y
Male,Yes,0,Graduate,No,325000,0,17000000,360,1,Rural,451,0.04,6785,325000,21813,N
Male,Yes,,Not Graduate,Yes,473500,0,13800000,360,1,Urban,559,0.04,103491,2841000,192140,N
Male,Yes,2,Graduate,No,625000,169500,21000000,360,1,Semiurban,715,0.09,1875000,461028,5000000,Y
Male,,,Graduate,No,475800,0,15800000,480,1,Semiurban,653,0.06,475800,387430,0,Y
Male,No,0,Graduate,Yes,640000,0,20000000,360,1,Rural,686,0.05,1280000,193713,6400000,Y
Male,Yes,1,Graduate,No,249100,205400,10400000,360,1,Semiurban,706,0.06,498200,96828,249100,Y
Male,Yes,0,Graduate,,371600,0,4200000,180,1,Rural,708,0.05,1858000,159379,743200,Y
Male,No,0,Not Graduate,No,318900,259800,12000000,,1,Rural,709,0.07,318900,25767,1275600,Y
Female,No,0,Graduate,No,833300,0,28000000,360,1,Semiurban,700,0.06,1666600,280771,5833100,Y
Male,Yes,1,Graduate,No,315500,177900,14000000,360,1,Semiurban,712,0.09,315500,213623,946500,Y
Male,Yes,1,Graduate,No,550000,126000,17000000,360,1,Rural,674,0.05,1100000,324243,2750000,Y
Male,Yes,0,Graduate,,574600,0,25500000,360,,Urban,635,0.02,319881,1149200,448195,N
Female,No,0,Graduate,Yes,346300,0,12200000,360,,Urban,653,0.05,0,160427,1731500,Y
Female,No,1,Graduate,No,381200,0,11200000,360,1,Rural,685,0.06,0,254333,2668400,Y
Male,Yes,1,Graduate,No,331500,0,9600000,360,1,Semiurban,695,0.07,994500,50619,1657500,Y
Male,Yes,2,Graduate,No,581900,500000,12000000,360,1,Rural,654,0.08,2327600,73632,3491400,Y
Male,Yes,1,Not Graduate,No,251000,198300,14000000,180,1,Urban,487,0.04,40136,1757000,178366,N
Male,No,0,Graduate,No,296500,570100,15500000,60,1,Urban,653,0.06,889500,191520,1482500,Y
Male,Yes,2,Graduate,Yes,625000,130000,10800000,360,1,Rural,713,0.07,1875000,511001,3125000,Y
Male,Yes,0,Not Graduate,No,340600,441700,12300000,360,1,Semiurban,658,0.05,1021800,155851,2043600,Y
Male,No,0,Graduate,Yes,605000,433300,12000000,180,1,Urban,627,0.03,385008,2420000,329331,N
Male,Yes,2,Graduate,No,970300,0,11200000,360,1,Urban,650,0.05,0,13037,8732700,Y
Male,Yes,1,Not Graduate,No,660800,0,13700000,180,1,Urban,666,0.05,1321600,33161,4625600,Y
Male,Yes,1,Graduate,No,288200,184300,12300000,480,1,Semiurban,663,0.07,576400,9078,288200,Y
Male,Yes,0,Graduate,No,180900,186800,9000000,360,1,Urban,719,0.05,904500,27488,361800,Y
Male,Yes,0,Not Graduate,No,166800,389000,20100000,360,0,Semiurban,681,0.06,97060,667200,38831,N
Female,No,2,Graduate,No,342700,0,13800000,360,1,Urban,640,0.03,18711,1028100,102240,N
Male,No,0,Not Graduate,Yes,258300,216700,10400000,360,1,Rural,711,0.07,0,134497,1033200,Y
Male,Yes,1,Not Graduate,No,266100,710100,27900000,180,1,Semiurban,673,0.06,1330500,8378,1862700,Y
Male,No,0,Graduate,Yes,1625000,0,19200000,360,0,Urban,577,0.03,1582979,6500000,652176,N
Female,No,3+,Graduate,No,308300,0,25500000,360,1,Rural,719,0.05,1541500,216619,1541500,Y
Male,No,0,Not Graduate,No,604500,0,11500000,360,0,Rural,635,0.05,439409,3627000,504494,N
Male,Yes,3+,Graduate,No,525000,0,9400000,360,1,Urban,531,0.07,356417,1050000,289656,N
Male,Yes,0,Graduate,No,1468300,210000,30400000,360,1,Rural,599,0.04,1371339,11746400,1426142,N
Male,Yes,3+,Not Graduate,No,493100,0,12800000,360,,Semiurban,572,0.02,87790,0,68142,N
Male,Yes,1,Graduate,No,608300,425000,33000000,360,,Urban,679,0.09,1216600,537606,1216600,Y
