Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Term,Credit_History,Area,FICO_Score,Loan_To_Value,Liquid_Assets,Total_Debt,Net_Worth,Status
0,1,2,1,0,422600,104000,11000000,360,1,2,699,0.06,845200,135067,1267800,1
0,0,0,1,0,144200,0,3500000,360,1,2,630,0.04,129624,288400,112188,0
1,0,2,0,2,375000,208300,12000000,360,1,1,695,0.09,1125000,212013,1125000,1
0,1,1,0,2,416600,336900,20100000,360,2,2,489,0.06,125843,833200,169576,0
0,0,0,0,0,316700,0,7400000,360,1,2,434,0.04,151502,1900200,213963,0
0,0,1,0,1,469200,0,10600000,360,1,0,633,0.05,112354,1407600,433669,0
0,1,0,0,0,350000,166700,11400000,360,1,1,702,0.05,700000,303060,1750000,1
0,0,3,0,0,1250000,300000,32000000,360,1,0,449,0.06,706415,6250000,308615,0
0,1,0,0,0,227500,206700,0,360,1,2,710,0.09,0,59393,455000,1
0,1,0,0,0,182800,133000,10000000,6,0,2,655,0.04,127163,914000,8354,0
1,1,0,0,0,366700,145900,14400000,360,1,1,681,0.06,733400,276132,1100100,1
0,0,0,0,0,416600,721000,18400000,360,1,2,671,0.08,416600,84671,1249800,1
0,0,0,1,0,374800,166800,11000000,360,1,1,695,0.09,749600,226948,2248800,1
0,0,0,0,0,360000,0,8000000,360,1,2,433,0.06,70154,1800000,280131,0
0,0,0,0,0,180000,121300,4700000,360,1,2,714,0.06,540000,126818,1440000,1
0,1,0,0,0,240000,0,7500000,360,2,2,709,0.06,1200000,201871,1680000,1
0,1,0,0,0,394100,233600,13400000,360,1,1,650,0.05,1182300,299626,3152800,1
0,1,0,1,1,469500,0,9600000,6,1,2,652,0.08,0,436011,469500,1
1,0,0,0,0,341000,0,8800000,6,1,2,668,0.09,1364000,173559,3069000,1
0,1,1,0,0,564900,0,4400000,360,1,2,655,0.05,1129800,460708,2824500,1
0,1,0,0,0,582100,0,14400000,360,1,2,661,0.07,0,543367,2328400,1
1,1,0,0,0,264500,344000,12000000,360,0,2,532,0.05,236598,1851500,14886,0
1,0,0,0,0,400000,227500,14400000,360,1,1,666,0.05,2000000,83950,1200000,1
1,1,0,1,0,192800,164400,10000000,360,1,1,691,0.06,771200,74501,964000,1
1,0,0,0,0,308600,0,12000000,360,1,1,654,0.09,925800,150289,2777400,1
1,0,0,0,0,423000,0,11200000,360,1,1,541,0.02,57695,0,34423,0
0,1,2,0,0,461600,0,13400000,360,1,2,680,0.04,226908,4616000,74488,0
1,1,1,0,1,1150000,0,28600000,360,0,2,679,0.07,747057,6900000,100784,0
0,1,2,0,0,270800,116700,9700000,360,1,1,686,0.07,1083200,52751,812400,1
0,1,0,0,0,213200,159100,9600000,360,1,1,664,0.09,852800,120408,1066000,1
0,1,0,0,0,336600,220000,13500000,360,1,0,620,0.03,32887,2356200,284608,0
0,1,1,0,0,808000,225000,18000000,360,1,2,695,0.06,1616000,227483,4040000,1
0,1,2,1,0,335700,285900,14400000,360,1,2,714,0.06,1007100,249140,3357000,1
0,1,0,0,0,250000,379600,12000000,360,1,2,676,0.06,1000000,230560,500000,1
0,1,3,0,0,302900,0,9900000,360,1,2,663,0.08,605800,15113,1514500,1
0,1,0,1,1,260900,344900,16500000,180,0,0,659,0.07,211956,2348100,17459,0
0,1,1,0,0,494500,0,0,360,0,0,585,0.06,255852,4945000,34849,0
1,0,0,0,0,416600,0,11600000,360,0,1,536,0.07,327110,416600,143656,0
0,1,0,0,0,572600,459500,25800000,360,1,1,663,0.06,519390,5153400,430391,0
0,0,0,1,0,320000,225400,12600000,180,0,2,600,0.06,3556,640000,232733,0
0,1,1,0,0,1075000,0,31200000,360,1,2,719,0.06,4300000,327532,7525000,1
0,1,3,1,1,710000,0,12500000,60,1,2,696,0.06,3550000,29634,710000,1
1,0,0,0,0,430000,0,13600000,360,0,1,553,0.02,348143,4300000,255942,0
0,1,0,0,0,320800,306600,17200000,360,1,2,658,0.07,1604000,234195,1924800,1
0,1,2,1,1,187500,187500,9700000,360,1,1,658,0.09,562500,178554,1312500,1
0,0,0,0,0,350000,0,8100000,300,1,1,656,0.06,1050000,85051,2100000,1
0,1,3,1,0,475500,0,9500000,6,0,1,462,0.07,239654,951000,291687,0
0,1,3,0,1,526600,177400,18700000,360,1,1,708,0.07,0,425956,1579800,1
0,0,0,0,0,375000,0,11300000,480,1,2,678,0.02,94366,3375000,4094,0
0,0,0,0,0,375000,475000,17600000,360,1,2,683,0.04,297626,2250000,222939,0
0,1,1,0,1,100000,302200,11000000,360,1,2,616,0.06,55452,1000000,82075,0
0,1,3,0,0,316700,400000,18000000,300,0,1,599,0.04,163673,950100,71598,0
0,1,3,1,1,333300,216600,13000000,360,2,1,666,0.06,1666500,231061,3333000,1
1,0,0,0,0,384600,0,11100000,360,1,1,670,0.08,1538400,23083,2692200,1
0,1,1,0,1,239500,0,0,360,1,1,716,0.09,1197500,66425,239500,1
1,1,2,0,0,137800,188100,16700000,360,1,2,506,0.04,102373,0,52770,0
0,1,0,0,0,600000,225000,26500000,360,2,1,625,0.03,383127,4200000,119381,0
0,1,1,0,0,398800,0,5000000,240,1,2,682,0.05,797600,144359,3190400,1
0,0,0,0,0,236600,253100,13600000,360,1,1,697,0.06,473200,167225,1419600,1
0,1,2,1,0,333300,200000,9900000,360,2,1,707,0.06,1333200,273574,1999800,1
0,1,0,0,0,250000,211800,10400000,360,1,1,707,0.06,1000000,165990,500000,1
0,0,0,0,0,856600,0,21000000,360,1,2,667,0.05,4283000,813879,7709400,1
0,1,0,0,0,569500,416700,17500000,360,1,1,694,0.05,0,307727,1708500,1
0,1,0,0,0,295800,290000,13100000,360,1,1,691,0.07,1479000,86380,591600,1
0,1,2,0,0,625000,565400,18800000,180,1,1,709,0.08,1250000,538334,625000,1
0,1,2,1,0,327300,182000,8100000,360,1,2,677,0.08,327300,150314,2618400,1
0,0,0,0,0,413300,0,12200000,360,1,1,666,0.08,0,87264,3306400,1
0,0,0,1,0,362000,0,2500000,120,1,1,715,0.08,0,80179,2896000,1
0,0,0,0,2,678200,0,0,360,2,2,504,0.04,361408,0,21991,0
1,1,0,0,0,248400,230200,13700000,360,1,1,687,0.05,1242000,43241,0,1
0,1,0,0,0,197700,99700,5000000,360,1,1,716,0.08,0,150865,1581600,1
0,1,0,1,0,418800,0,11500000,180,1,1,661,0.05,418800,44988,837600,1
0,1,0,0,0,175900,354100,13100000,360,1,1,654,0.09,703600,158772,879500,1
0,1,2,1,0,428800,326300,13300000,180,1,2,650,0.09,2144000,403121,1286400,1
0,0,0,0,0,484300,380600,15100000,360,1,1,717,0.05,484300,444339,4358700,1
0,1,4,0,0,1365000,0,0,360,1,2,698,0.05,5460000,1052560,9555000,1
0,1,0,0,0,465200,358300,0,360,1,1,713,0.05,2326000,28622,4186800,1
0,2,4,0,0,381600,75400,16000000,360,1,2,710,0.09,1144800,38487,1526400,1
0,1,1,0,0,305200,103000,10000000,360,1,2,693,0.08,610400,302759,915600,1
0,1,2,0,0,1141700,112600,22500000,360,1,2,665,0.09,0,344718,4566800,1
0,0,0,1,2,733300,0,12000000,360,1,0,530,0.05,90748,5133100,625496,0
0,1,2,0,0,380000,360000,21600000,360,0,2,512,0.03,31781,0,59770,0
0,1,3,1,0,207100,75400,9400000,480,1,1,682,0.06,621300,104176,0,1
0,0,0,0,0,531600,0,13600000,360,1,2,682,0.05,2658000,138474,3189600,1
1,1,0,0,2,292900,233300,13900000,360,1,1,673,0.05,292900,88624,2636100,1
0,1,0,1,0,357200,411400,15200000,6,0,0,476,0.05,258968,1071600,319279,0
1,0,1,0,1,745100,0,0,360,1,1,672,0.09,2235300,96841,745100,1
0,0,0,0,2,505000,0,11800000,360,1,1,692,0.07,1010000,479878,4545000,1
0,1,1,0,0,1458300,0,18500000,180,1,0,717,0.09,4374900,1153129,14583000,1
1,1,0,0,0,316700,228300,15400000,360,1,1,696,0.09,0,84048,633400,1
0,1,1,0,0,221400,139800,8500000,360,2,2,680,0.07,664200,185484,1328400,1
0,1,0,0,0,556800,214200,17500000,360,1,0,422,0.03,449301,0,399739,0
1,0,0,0,0,1040800,0,25900000,360,1,2,667,0.07,0,417263,1040800,1
0,1,4,0,0,566700,266700,18000000,360,1,0,657,0.05,566700,508075,1133400,1
1,0,0,0,0,416600,0,4400000,360,1,1,710,0.06,2083000,406847,2916200,1
1,0,0,0,0,213700,898000,13700000,360,0,1,656,0.09,854800,153448,0,1
0,1,2,0,0,295700,0,8100000,360,1,1,701,0.09,887100,96220,1182800,1
0,1,0,1,0,430000,201400,19400000,360,1,0,719,0.05,0,376814,2580000,1
1,0,0,0,0,369200,0,9300000,360,2,0,661,0.05,1476800,157116,3692000,1
2,1,3,0,0,2380300,0,37000000,360,1,0,689,0.06,4760600,1016821,2380300,1
0,0,0,0,0,386500,164000,0,360,1,0,710,0.05,1159500,219499,0,1
0,1,1,0,1,1051300,385000,16000000,180,0,2,572,0.03,876960,7359100,234259,0
0,1,0,0,0,608000,256900,18200000,360,2,0,452,0.05,218576,1216000,582032,0
0,0,0,0,1,2016600,0,65000000,480,2,2,690,0.05,2016600,202135,16132800,1
0,0,0,0,0,201400,192900,7400000,360,1,2,696,0.07,201400,40491,1812600,1
0,0,0,0,0,271800,0,7000000,360,1,1,706,0.07,543600,215735,1359000,1
0,1,0,0,1,345900,0,2500000,120,1,1,713,0.09,691800,344224,1037700,1
0,0,0,0,0,489500,0,10200000,360,1,1,687,0.07,2447500,350575,2937000,1
0,1,3,0,0,400000,775000,29000000,360,1,1,457,0.07,21758,400000,202866,0
1,1,0,0,0,458300,0,8400000,360,1,0,550,0.03,453094,2749800,50111,0
0,1,2,0,1,331600,350000,8800000,360,1,2,663,0.08,663200,120511,1326400,1
0,0,0,0,0,1499900,0,24200000,360,0,1,553,0.04,1374669,7499500,508577,0
0,1,2,1,0,420000,143000,12900000,360,1,0,503,0.06,379776,1260000,399055,0
0,1,2,0,0,504200,208300,18500000,360,1,0,424,0.07,272511,1512600,101717,0
0,0,0,0,0,541700,0,16800000,360,1,2,708,0.05,0,323115,2708500,1
0,0,0,0,1,695000,0,17500000,180,1,1,702,0.07,695000,518380,0,1
0,1,0,0,0,269800,203400,12200000,360,1,1,717,0.09,1349000,252205,269800,1
0,1,2,0,0,1175700,0,18700000,180,1,2,708,0.07,4702800,249674,1175700,1
1,1,0,0,0,233000,448600,10000000,360,1,1,712,0.09,233000,194147,2330000,1
1,1,2,0,0,1486600,0,7000000,360,1,2,652,0.07,7433000,644179,2973200,1
0,1,1,0,0,153800,142500,3000000,360,1,2,674,0.08,769000,33165,153800,1
1,0,0,0,0,1000000,166600,22500000,360,1,0,557,0.03,40270,0,615747,0
0,1,0,0,0,486000,83000,12500000,360,1,1,694,0.07,1944000,140301,4860000,1
0,0,0,0,0,627700,0,11800000,360,0,0,645,0.06,513785,3766200,161045,0
0,1,0,0,1,257700,375000,15200000,360,1,0,667,0.05,257700,17567,1803900,1
0,0,0,0,0,916600,0,24400000,360,1,2,653,0.05,192262,2749800,738474,0
0,1,2,1,0,228100,0,11300000,360,1,0,498,0.02,122331,0,137515,0
0,0,0,0,0,325400,0,5000000,360,1,2,666,0.09,1301600,299666,1952400,1
0,1,3,0,0,3999900,0,60000000,180,0,1,655,0.08,15999600,1135794,19999500,1
0,1,1,0,0,600000,0,16000000,360,2,0,690,0.05,1800000,317500,5400000,1
0,1,1,0,0,953800,0,18700000,360,1,2,676,0.08,2861400,823261,953800,1
0,0,0,0,2,298000,208300,12000000,360,1,0,682,0.06,298000,291016,298000,1
0,1,0,0,0,458300,562500,25500000,360,1,1,687,0.07,916600,39695,1374900,1
0,1,0,1,0,186300,104100,9800000,360,1,1,704,0.07,0,101273,372600,1
0,1,0,0,0,793300,0,27500000,360,1,2,463,0.07,516839,5553100,761933,0
0,1,1,0,0,308900,128000,12100000,360,0,1,578,0.02,18611,308900,236852,0
0,1,2,0,0,416700,144700,15800000,360,1,0,669,0.08,1250100,104352,3333600,1
0,1,0,0,0,932300,0,7500000,180,1,2,665,0.07,1864600,546984,3729200,1
0,1,0,0,0,370700,316600,18200000,6,1,0,674,0.05,1482800,6224,2965600,1
1,1,0,0,0,458300,0,11200000,360,1,0,405,0.02,331293,4583000,97218,0
0,1,0,0,0,243900,333300,12900000,360,1,0,689,0.07,731700,192541,1219500,1
0,0,0,0,0,223700,0,6300000,480,0,1,490,0.04,160261,894800,114686,0
0,1,2,0,0,800000,0,20000000,360,1,1,712,0.07,0,115201,7200000,1
0,1,0,1,2,182000,176900,9500000,360,1,0,671,0.06,0,56310,910000,1
2,1,3,0,0,5176300,0,70000000,300,1,2,681,0.08,20705200,3745151,31057800,1
0,1,3,1,0,352200,0,8100000,180,1,0,471,0.05,33920,0,169475,0
0,1,0,0,0,570800,562500,18700000,360,1,1,688,0.06,1712400,553759,5137200,1
0,1,0,1,1,434400,73600,8700000,360,1,1,628,0.07,106840,868800,48152,0
0,1,0,0,0,349700,196400,11600000,360,1,0,703,0.07,349700,248670,349700,1
0,1,2,0,0,204500,161900,10100000,360,1,0,695,0.09,409000,162098,2045000,1
0,1,3,0,0,551600,1130000,49500000,360,0,1,523,0.05,246666,4412800,455688,0
0,1,1,0,0,375000,0,11600000,360,1,1,670,0.08,1125000,59486,1500000,1
0,0,0,1,0,233300,145100,10200000,480,0,2,466,0.05,183873,1399800,85733,0
0,1,1,0,0,640000,725000,18000000,360,0,2,687,0.07,124996,1280000,393210,0
0,0,0,0,0,191600,506300,6700000,360,2,0,667,0.07,170181,1149600,57394,0
0,1,0,0,0,460000,0,7300000,180,1,1,671,0.07,0,197080,1840000,1
0,1,1,0,0,3384600,0,26000000,360,1,1,524,0.04,2303873,20307600,592254,0
1,1,0,0,0,362500,0,10800000,360,1,1,659,0.07,1450000,26793,1450000,1
0,1,0,0,1,3914700,475000,12000000,360,1,1,673,0.08,15658800,3666167,15658800,1
0,1,1,0,1,217800,0,6600000,300,0,0,668,0.07,62416,435600,191095,0
0,1,0,0,0,238300,213800,5800000,360,2,0,697,0.05,238300,104151,1906400,1
2,1,0,0,1,67400,529600,16800000,360,1,0,704,0.06,337000,50109,606600,1
0,1,0,0,0,932800,0,18800000,180,1,0,712,0.09,0,287375,0,1
0,0,0,1,0,488500,0,4800000,360,1,0,677,0.09,1954000,172880,1465500,1
0,0,0,0,0,1200000,0,16400000,360,1,1,499,0.02,584427,10800000,695109,0
0,1,0,1,0,603300,0,16000000,360,1,2,495,0.06,37394,0,413674,0
0,0,0,0,0,385800,0,7600000,360,1,1,657,0.06,1543200,382420,1157400,1
0,0,0,0,0,419100,0,12000000,360,1,0,664,0.06,1676400,49230,4191000,1
0,1,1,0,0,312500,258300,17000000,360,1,1,577,0.02,59991,937500,257778,0
0,0,0,0,0,833300,375000,18700000,360,1,0,720,0.07,1666600,112211,1666600,1
1,0,0,1,0,190700,236500,12000000,6,1,2,676,0.06,0,140428,762800,1
1,1,0,0,0,341600,281600,11300000,360,2,1,700,0.07,1366400,30014,3416000,1
0,0,0,0,1,1100000,0,8300000,360,1,2,599,0.04,312585,1100000,823475,0
0,1,1,1,0,260000,250000,9000000,360,1,1,711,0.07,0,233218,1820000,1
0,0,2,0,0,492300,0,16600000,360,0,1,706,0.08,492300,144414,1476900,1
0,1,3,1,0,399200,0,0,180,1,2,620,0.05,291259,2794400,1859,0
0,1,1,1,0,350000,108300,13500000,360,1,2,710,0.08,700000,286019,3150000,1
0,1,2,1,0,391700,0,12400000,360,1,1,692,0.05,1175100,144099,1958500,1
1,0,0,1,0,440800,0,12000000,360,1,1,684,0.06,881600,279912,3085600,1
1,0,0,0,0,324400,0,8000000,360,1,2,659,0.09,0,50146,1297600,1
0,0,0,1,0,397500,253100,5500000,360,1,0,675,0.07,0,276280,2385000,1
0,0,0,0,0,247900,0,5900000,360,1,2,702,0.09,1239500,32938,991600,1
0,0,0,0,0,341800,0,12700000,360,1,1,650,0.02,1275,1025400,326482,0
1,0,0,0,0,1000000,0,21400000,360,1,1,530,0.02,177659,10000000,76968,0
0,1,3,0,0,343000,125000,12800000,360,0,1,651,0.02,175188,0,245821,0
0,1,1,0,1,778700,0,24000000,360,1,2,684,0.05,1557400,446208,4672200,1
0,1,3,1,1,570300,0,13000000,360,1,0,653,0.09,1710900,65926,2851500,1
0,1,0,0,0,317300,302100,13700000,360,1,2,653,0.05,1586500,241005,317300,1
0,1,3,1,0,385000,98300,10000000,360,1,1,676,0.05,1155000,138467,385000,1
0,1,0,0,0,15000,180000,13500000,360,1,0,501,0.04,9010,150000,2483,0
0,1,0,0,0,372700,177500,13100000,360,1,1,668,0.09,1863500,219054,1863500,1
0,1,2,0,2,500000,0,7200000,360,0,1,603,0.03,136854,1000000,130047,0
1,1,2,0,0,428300,238300,12700000,360,2,1,706,0.07,2141500,279127,1713200,1
0,1,0,0,0,222100,0,6000000,360,0,2,686,0.03,56193,1110500,4700,0
0,1,2,0,0,400900,171700,11600000,360,1,1,679,0.09,400900,159021,1603600,1
0,0,0,0,0,297100,279100,14400000,360,1,1,678,0.06,1188400,37490,2376800,1
0,1,0,0,0,757800,101000,17500000,6,1,1,670,0.07,3031200,724315,3031200,1
0,1,0,0,0,625000,0,12800000,360,1,1,699,0.05,625000,542910,3125000,1
0,1,0,0,0,325000,0,17000000,360,1,0,451,0.04,6785,325000,21813,0
0,1,4,1,1,473500,0,13800000,360,1,2,559,0.04,103491,2841000,192140,0
0,1,2,0,0,625000,169500,21000000,360,1,1,715,0.09,1875000,461028,5000000,1
0,2,4,0,0,475800,0,15800000,480,1,1,653,0.06,475800,387430,0,1
0,0,0,0,1,640000,0,20000000,360,1,0,686,0.05,1280000,193713,6400000,1
0,1,1,0,0,249100,205400,10400000,360,1,1,706,0.06,498200,96828,249100,1
0,1,0,0,2,371600,0,4200000,180,1,0,708,0.05,1858000,159379,743200,1
0,0,0,1,0,318900,259800,12000000,6,1,0,709,0.07,318900,25767,1275600,1
1,0,0,0,0,833300,0,28000000,360,1,1,700,0.06,1666600,280771,5833100,1
0,1,1,0,0,315500,177900,14000000,360,1,1,712,0.09,315500,213623,946500,1
0,1,1,0,0,550000,126000,17000000,360,1,0,674,0.05,1100000,324243,2750000,1
0,1,0,0,2,574600,0,25500000,360,2,2,635,0.02,319881,1149200,448195,0
1,0,0,0,1,346300,0,12200000,360,2,2,653,0.05,0,160427,1731500,1
1,0,1,0,0,381200,0,11200000,360,1,0,685,0.06,0,254333,2668400,1
0,1,1,0,0,331500,0,9600000,360,1,1,695,0.07,994500,50619,1657500,1
0,1,2,0,0,581900,500000,12000000,360,1,0,654,0.08,2327600,73632,3491400,1
0,1,1,1,0,251000,198300,14000000,180,1,2,487,0.04,40136,1757000,178366,0
0,0,0,0,0,296500,570100,15500000,60,1,2,653,0.06,889500,191520,1482500,1
0,1,2,0,1,625000,130000,10800000,360,1,0,713,0.07,1875000,511001,3125000,1
0,1,0,1,0,340600,441700,12300000,360,1,1,658,0.05,1021800,155851,2043600,1
0,0,0,0,1,605000,433300,12000000,180,1,2,627,0.03,385008,2420000,329331,0
0,1,2,0,0,970300,0,11200000,360,1,2,650,0.05,0,13037,8732700,1
0,1,1,1,0,660800,0,13700000,180,1,2,666,0.05,1321600,33161,4625600,1
0,1,1,0,0,288200,184300,12300000,480,1,1,663,0.07,576400,9078,288200,1
0,1,0,0,0,180900,186800,9000000,360,1,2,719,0.05,904500,27488,361800,1
0,1,0,1,0,166800,389000,20100000,360,0,1,681,0.06,97060,667200,38831,0
1,0,2,0,0,342700,0,13800000,360,1,2,640,0.03,18711,1028100,102240,0
0,0,0,1,1,258300,216700,10400000,360,1,0,711,0.07,0,134497,1033200,1
0,1,1,1,0,266100,710100,27900000,180,1,1,673,0.06,1330500,8378,1862700,1
0,0,0,0,1,1625000,0,19200000,360,0,2,577,0.03,1582979,6500000,652176,0
1,0,3,0,0,308300,0,25500000,360,1,0,719,0.05,1541500,216619,1541500,1
0,0,0,1,0,604500,0,11500000,360,0,0,635,0.05,439409,3627000,504494,0
0,1,3,0,0,525000,0,9400000,360,1,2,531,0.07,356417,1050000,289656,0
0,1,0,0,0,1468300,210000,30400000,360,1,0,599,0.04,1371339,11746400,1426142,0
0,1,3,1,0,493100,0,12800000,360,2,1,572,0.02,87790,0,68142,0
0,1,1,0,0,608300,425000,33000000,360,2,2,679,0.09,1216600,537606,1216600,1
0,0,0,0,0,206000,220900,13400000,360,1,1,657,0.08,0,33225,206000,1
1,0,1,0,0,348100,0,15500000,36,1,1,638,0.05,279979,2088600,160059,0
1,0,0,0,0,720000,0,12000000,360,1,0,695,0.07,1440000,137525,2880000,1
0,0,0,0,1,516600,0,12800000,360,1,1,675,0.08,2066400,6183,516600,1
0,0,0,0,0,409500,344700,15100000,360,1,0,694,0.09,1228500,320018,409500,1
0,1,2,0,0,470800,138700,15000000,360,1,1,707,0.07,0,221668,3766400,1
0,1,3,0,0,433300,181100,16000000,360,0,2,706,0.05,1299900,326902,866600,1
1,0,0,0,2,341800,0,13500000,360,1,0,476,0.04,29769,1709000,339506,0
1,0,1,0,0,287600,156000,9000000,360,1,2,682,0.07,575200,7949,287600,1
1,0,0,0,0,323700,0,3000000,360,1,2,687,0.06,647400,242973,3237000,1
0,1,0,0,0,1114600,0,13600000,360,1,2,702,0.05,2229200,877755,10031400,1
0,0,0,0,0,283300,185700,12600000,360,1,0,717,0.07,0,217295,283300,1
0,1,0,0,0,262000,222300,15000000,360,1,1,666,0.06,0,192633,1834000,1
0,1,2,0,0,390000,0,9000000,360,1,1,702,0.06,0,352194,2340000,1
0,1,1,0,0,275000,184200,11500000,360,1,1,675,0.05,0,150821,0,1
0,1,0,0,0,399300,327400,20700000,360,1,1,686,0.08,1996500,65172,798600,1
0,1,0,0,0,310300,130000,8000000,360,1,2,683,0.07,620600,194055,620600,1
0,1,0,0,0,1458300,0,43600000,360,1,1,693,0.07,1458300,220663,11666400,1
1,1,0,1,0,410000,0,12400000,360,2,0,670,0.06,2050000,225985,2460000,1
0,0,1,1,1,405300,242600,15800000,360,0,2,505,0.05,320017,2837100,57377,0
0,1,0,0,0,392700,80000,11200000,360,1,1,713,0.07,392700,281493,2748900,1
0,1,2,0,0,230100,98579.99878,7800000,180,1,2,701,0.09,230100,133159,1380600,1
1,0,0,0,0,181100,166600,5400000,360,1,2,717,0.09,362200,94046,181100,1
0,1,0,0,0,2066700,0,0,360,1,0,513,0.07,654888,16533600,1975066,0
0,0,0,0,0,315800,305300,8900000,360,1,0,711,0.06,315800,8678,1263200,1
1,0,0,0,1,260000,171700,9900000,300,1,1,426,0.04,217625,520000,211592,0
0,1,0,0,0,370400,200000,12000000,360,1,0,681,0.08,0,103757,1481600,1
1,0,0,0,0,412400,0,11500000,360,1,1,717,0.06,1237200,403186,824800,1
0,0,0,0,0,950800,0,18700000,360,1,0,718,0.08,0,850841,2852400,1
0,1,0,0,0,307500,241600,13900000,360,1,0,664,0.09,922500,302808,1845000,1
0,1,2,0,0,440000,0,12700000,360,0,1,532,0.03,13362,1760000,162709,0
0,1,2,0,0,315300,156000,13400000,360,1,2,652,0.07,1576500,106877,945900,1
1,0,4,0,0,541700,0,14300000,480,0,2,435,0.06,263300,1625100,98457,0
0,1,0,0,0,238300,333400,17200000,360,1,1,676,0.05,238300,153890,476600,1
0,1,3,0,2,441600,125000,11000000,360,1,2,672,0.09,1324800,266213,3091200,1
0,1,1,0,0,687500,0,20000000,360,1,1,666,0.06,2750000,386994,2062500,1
1,1,1,0,0,466600,0,13500000,360,1,2,676,0.09,1399800,37389,1399800,1
1,0,0,0,0,500000,254100,15100000,480,1,0,438,0.02,88776,2000000,266191,0
0,1,1,0,0,201400,292500,11300000,360,1,2,408,0.04,6116,402800,131862,0
0,1,0,1,0,180000,293400,9300000,360,0,2,565,0.04,169430,1080000,172635,0
0,1,4,1,0,287500,175000,10500000,360,1,1,670,0.05,575000,159489,2012500,1
1,0,0,0,0,500000,0,13200000,360,1,0,718,0.09,2500000,93583,0,1
0,1,1,0,0,162500,180300,9600000,360,1,2,704,0.07,487500,161585,162500,1
0,0,0,0,0,400000,250000,14000000,360,1,0,695,0.07,0,149170,2800000,1
0,0,0,1,0,200000,0,0,360,1,2,544,0.03,22933,200000,104732,0
1,0,0,0,0,376200,166600,13500000,360,1,0,686,0.06,376200,8252,2257200,1
1,0,0,0,0,240000,186300,10400000,360,0,2,554,0.02,207284,1440000,82048,0
0,0,0,0,0,2023300,0,48000000,360,1,0,594,0.04,822847,6069900,300613,0
0,1,2,1,0,766700,0,18500000,360,2,0,697,0.06,3833500,9455,1533400,1
1,0,0,0,0,291700,0,8400000,360,1,1,681,0.06,583400,74170,583400,1
0,0,0,1,0,292700,240500,11100000,360,1,1,713,0.07,878100,38187,2048900,1
1,0,0,0,0,250700,0,5600000,360,1,0,707,0.09,0,90747,250700,1
0,1,2,0,1,574600,0,14400000,84,2,0,685,0.09,2873000,491580,1723800,1
2,1,0,0,0,247300,184300,15900000,360,1,0,668,0.05,86076,1731100,164662,0
0,1,1,1,0,339900,164000,11100000,180,1,2,660,0.05,0,59985,1699500,1
0,1,2,0,0,371700,0,12000000,360,1,1,699,0.05,371700,114321,2973600,1
